Figure,Number of steady states,Prod_of_AHR,Prod_of_NFIC,Prod_of_FOS,Prod_of_KLF4,Prod_of_FOXF1,Prod_of_JUN,Prod_of_SMAD3,Prod_of_MITF,Prod_of_SMAD4,Prod_of_MAFB,Prod_of_NR3C1,Prod_of_NR2F1,Prod_of_STAT5A,Prod_of_TBX3,Prod_of_TFE3,Prod_of_ETV5,Prod_of_TFAP2A,Deg_of_AHR,Deg_of_NFIC,Deg_of_FOS,Deg_of_KLF4,Deg_of_FOXF1,Deg_of_JUN,Deg_of_SMAD3,Deg_of_MITF,Deg_of_SMAD4,Deg_of_MAFB,Deg_of_NR3C1,Deg_of_NR2F1,Deg_of_STAT5A,Deg_of_TBX3,Deg_of_TFE3,Deg_of_ETV5,Deg_of_TFAP2A,Trd_of_AHRToAHR,Num_of_AHRToAHR,Inh_of_AHRToAHR,Trd_of_NFICToAHR,Num_of_NFICToAHR,Act_of_NFICToAHR,Trd_of_FOSToAHR,Num_of_FOSToAHR,Inh_of_FOSToAHR,Trd_of_NR3C1ToNFIC,Num_of_NR3C1ToNFIC,Act_of_NR3C1ToNFIC,Trd_of_MITFToNFIC,Num_of_MITFToNFIC,Inh_of_MITFToNFIC,Trd_of_AHRToFOS,Num_of_AHRToFOS,Inh_of_AHRToFOS,Trd_of_NR3C1ToFOS,Num_of_NR3C1ToFOS,Inh_of_NR3C1ToFOS,Trd_of_SMAD3ToFOS,Num_of_SMAD3ToFOS,Act_of_SMAD3ToFOS,Trd_of_NFICToFOS,Num_of_NFICToFOS,Inh_of_NFICToFOS,Trd_of_MITFToFOS,Num_of_MITFToFOS,Act_of_MITFToFOS,Trd_of_SMAD4ToFOS,Num_of_SMAD4ToFOS,Act_of_SMAD4ToFOS,Trd_of_FOSToFOS,Num_of_FOSToFOS,Inh_of_FOSToFOS,Trd_of_AHRToKLF4,Num_of_AHRToKLF4,Act_of_AHRToKLF4,Trd_of_JUNToKLF4,Num_of_JUNToKLF4,Act_of_JUNToKLF4,Trd_of_NR3C1ToKLF4,Num_of_NR3C1ToKLF4,Act_of_NR3C1ToKLF4,Trd_of_SMAD3ToKLF4,Num_of_SMAD3ToKLF4,Act_of_SMAD3ToKLF4,Trd_of_TBX3ToKLF4,Num_of_TBX3ToKLF4,Act_of_TBX3ToKLF4,Trd_of_MITFToKLF4,Num_of_MITFToKLF4,Inh_of_MITFToKLF4,Trd_of_KLF4ToFOXF1,Num_of_KLF4ToFOXF1,Act_of_KLF4ToFOXF1,Trd_of_JUNToJUN,Num_of_JUNToJUN,Act_of_JUNToJUN,Trd_of_SMAD3ToJUN,Num_of_SMAD3ToJUN,Act_of_SMAD3ToJUN,Trd_of_KLF4ToJUN,Num_of_KLF4ToJUN,Act_of_KLF4ToJUN,Trd_of_MITFToJUN,Num_of_MITFToJUN,Inh_of_MITFToJUN,Trd_of_SMAD4ToJUN,Num_of_SMAD4ToJUN,Act_of_SMAD4ToJUN,Trd_of_AHRToSMAD3,Num_of_AHRToSMAD3,Act_of_AHRToSMAD3,Trd_of_JUNToSMAD3,Num_of_JUNToSMAD3,Act_of_JUNToSMAD3,Trd_of_NR3C1ToSMAD3,Num_of_NR3C1ToSMAD3,Act_of_NR3C1ToSMAD3,Trd_of_NFICToSMAD3,Num_of_NFICToSMAD3,Act_of_NFICToSMAD3,Trd_of_FOSToSMAD3,Num_of_FOSToSMAD3,Inh_of_FOSToSMAD3,Trd_of_AHRToMITF,Num_of_AHRToMITF,Inh_of_AHRToMITF,Trd_of_JUNToMITF,Num_of_JUNToMITF,Inh_of_JUNToMITF,Trd_of_NR3C1ToMITF,Num_of_NR3C1ToMITF,Act_of_NR3C1ToMITF,Trd_of_SMAD3ToMITF,Num_of_SMAD3ToMITF,Inh_of_SMAD3ToMITF,Trd_of_KLF4ToMITF,Num_of_KLF4ToMITF,Inh_of_KLF4ToMITF,Trd_of_MITFToMITF,Num_of_MITFToMITF,Act_of_MITFToMITF,Trd_of_SMAD4ToMITF,Num_of_SMAD4ToMITF,Act_of_SMAD4ToMITF,Trd_of_NR3C1ToSMAD4,Num_of_NR3C1ToSMAD4,Inh_of_NR3C1ToSMAD4,Trd_of_MAFBToMAFB,Num_of_MAFBToMAFB,Act_of_MAFBToMAFB,Trd_of_NR3C1ToMAFB,Num_of_NR3C1ToMAFB,Act_of_NR3C1ToMAFB,Trd_of_AHRToNR3C1,Num_of_AHRToNR3C1,Act_of_AHRToNR3C1,Trd_of_JUNToNR3C1,Num_of_JUNToNR3C1,Act_of_JUNToNR3C1,Trd_of_SMAD3ToNR3C1,Num_of_SMAD3ToNR3C1,Act_of_SMAD3ToNR3C1,Trd_of_NFICToNR3C1,Num_of_NFICToNR3C1,Act_of_NFICToNR3C1,Trd_of_FOSToNR3C1,Num_of_FOSToNR3C1,Inh_of_FOSToNR3C1,Trd_of_NR3C1ToNR2F1,Num_of_NR3C1ToNR2F1,Act_of_NR3C1ToNR2F1,Trd_of_KLF4ToNR2F1,Num_of_KLF4ToNR2F1,Act_of_KLF4ToNR2F1,Trd_of_NFICToNR2F1,Num_of_NFICToNR2F1,Act_of_NFICToNR2F1,Trd_of_FOSToNR2F1,Num_of_FOSToNR2F1,Inh_of_FOSToNR2F1,Trd_of_STAT5AToSTAT5A,Num_of_STAT5AToSTAT5A,Act_of_STAT5AToSTAT5A,Trd_of_MITFToSTAT5A,Num_of_MITFToSTAT5A,Act_of_MITFToSTAT5A,Trd_of_SMAD3ToTBX3,Num_of_SMAD3ToTBX3,Act_of_SMAD3ToTBX3,Trd_of_TBX3ToTBX3,Num_of_TBX3ToTBX3,Act_of_TBX3ToTBX3,Trd_of_KLF4ToTBX3,Num_of_KLF4ToTBX3,Act_of_KLF4ToTBX3,Trd_of_NFICToTBX3,Num_of_NFICToTBX3,Act_of_NFICToTBX3,Trd_of_JUNToTFE3,Num_of_JUNToTFE3,Act_of_JUNToTFE3,Trd_of_TFE3ToTFE3,Num_of_TFE3ToTFE3,Inh_of_TFE3ToTFE3,Trd_of_NFICToTFE3,Num_of_NFICToTFE3,Act_of_NFICToTFE3,Trd_of_MITFToTFE3,Num_of_MITFToTFE3,Inh_of_MITFToTFE3,Trd_of_FOSToTFE3,Num_of_FOSToTFE3,Inh_of_FOSToTFE3,Trd_of_NR3C1ToETV5,Num_of_NR3C1ToETV5,Inh_of_NR3C1ToETV5,Trd_of_ETV5ToETV5,Num_of_ETV5ToETV5,Act_of_ETV5ToETV5,Trd_of_MITFToETV5,Num_of_MITFToETV5,Act_of_MITFToETV5,Trd_of_NR2F1ToTFAP2A,Num_of_NR2F1ToTFAP2A,Act_of_NR2F1ToTFAP2A,Trd_of_MITFToTFAP2A,Num_of_MITFToTFAP2A,Act_of_MITFToTFAP2A
Fig. 1,4,93.501059,84.785673,6735.497033,556.335203,21.868315,871.355614,495.910826,4680.763629,95.667173,28.314931,496.33972,55.92809,47.475965,1.317091,170.448693,63.196976,53.108812,0.409197,0.36834,0.348745,0.807226,0.227326,0.227008,0.651407,0.142453,0.761088,0.383134,0.579048,0.745578,0.556757,0.385134,0.565148,0.892408,0.265713,0.180574,6,0.062075,2.372856,4,53.471276,1.427298,5,0.014213,2.828206,2,28.327118,1.538378,6,0.095171,0.272417,5,0.011073,0.966737,2,0.055415,5.057475,2,83.965224,6.1233,3,0.014563,2.638466,5,73.387975,8.871522,5,23.506821,0.123172,6,0.062044,0.91806,3,74.446652,4.667553,6,94.425325,7.127866,6,5.371943,4.289722,1,91.371926,2.424029,2,54.583703,0.784902,4,0.024175,0.737348,6,42.248845,1.297271,1,37.604526,5.385329,6,5.088392,1.998107,3,14.408617,2.415346,1,0.065284,10.346846,2,17.945915,3.182304,4,95.774939,2.756266,5,71.700327,5.152608,2,15.312074,18.75298,2,10.976653,1.623065,2,0.018887,2.05265,4,0.028929,3.861996,1,0.028199,0.675383,4,82.480663,3.025082,2,0.014956,2.084552,5,0.01069,2.355713,6,22.037862,21.216959,6,37.899517,6.531523,3,0.014301,5.277922,4,46.79869,6.960097,4,58.278856,3.288056,5,98.399522,3.652083,6,57.238579,6.578906,5,29.738229,9.979151,6,26.343109,3.525069,5,0.011182,1.508347,6,22.769722,1.483174,6,55.698247,14.089243,4,82.361767,2.240519,6,0.010265,17.282361,6,52.872963,2.925358,2,66.218319,2.728936,3,32.060705,0.923822,2,55.925729,2.492183,5,31.687277,14.153381,5,89.95953,5.869082,2,68.701054,3.525414,5,0.016382,6.312198,6,4.433476,0.525381,1,0.276242,3.575173,1,0.021389,6.945744,4,0.012052,4.408385,3,42.059276,1.198115,1,42.725024,0.318641,1,55.887704,0.700932,6,1.704344
Fig. S1B up,4,49.808285,10.513306,9482.609477,78.300347,18.078766,872.709032,306.925664,6142.093879,56.673849,73.373951,297.232512,98.385109,35.049676,14.093252,382.705596,52.579962,72.733515,0.480689,0.509319,0.159166,0.865369,0.69922,0.508344,0.759304,0.32593,0.20624,0.534604,0.39485,0.402878,0.361025,0.602803,0.345388,0.69541,0.888382,3.759184,5,0.010341,16.059647,4,4.692633,3.484673,4,0.033371,5.927295,3,71.880645,0.377254,3,0.013283,4.365452,5,0.013163,0.21886,5,0.015434,0.762058,3,48.971616,7.614992,1,0.011254,1.910398,2,78.86621,7.41169,3,8.075012,3.331567,4,0.010677,4.550698,6,90.667788,5.372016,2,19.809977,5.485241,4,5.890437,0.894365,3,48.129298,0.206413,5,71.405773,1.313464,3,0.020429,1.516908,1,4.020256,4.828029,2,59.685661,4.632724,5,10.331075,2.566141,6,25.83984,2.509024,5,0.067708,36.825467,5,2.725065,4.637024,4,60.605298,2.121136,4,81.933375,0.684634,1,48.578284,17.423396,1,28.750189,3.57688,6,0.113859,0.788769,4,0.021736,1.830269,1,0.021811,4.013982,4,77.083931,1.187315,2,0.038691,0.042033,4,0.015799,2.670661,5,95.532425,30.298919,6,49.787628,1.221684,5,0.020871,7.715381,4,69.287538,0.818072,2,62.112467,1.121784,2,16.131666,0.118517,1,1.399816,1.255788,3,79.254386,16.062447,4,37.95842,2.340408,4,0.176725,6.574097,4,30.434511,1.994313,3,18.689467,12.030735,4,41.676248,1.619362,2,0.107317,2.938578,5,13.900865,0.429888,5,32.520311,5.182806,6,54.931788,0.205115,6,23.936496,2.519795,2,50.231412,0.356016,5,71.405762,5.544855,1,88.158365,1.522428,5,0.022741,0.208586,1,3.88177,1.080649,4,0.167828,2.317123,6,0.010169,3.468688,4,0.019523,5.601176,1,30.586854,0.424659,4,31.975647,0.329441,2,99.818543,1.120191,4,16.160339
Fig. S1B down,4,30.911245,47.305734,2150.307221,786.899859,58.759278,447.59347,809.620218,4453.815797,54.969855,48.356516,569.551296,88.973998,48.518091,32.594405,848.484461,45.916912,31.388969,0.569513,0.263421,0.40457,0.191658,0.358769,0.733293,0.735552,0.713843,0.428891,0.300275,0.931694,0.843577,0.73856,0.401828,0.459057,0.569512,0.357882,3.870755,6,0.015272,7.260187,4,10.677866,3.282876,1,0.012893,2.899679,3,16.791081,1.845243,1,0.05213,2.457006,6,0.028788,3.390616,4,0.011839,5.17691,5,1.307488,1.544054,4,0.019132,0.395633,1,83.545357,52.773527,1,2.549793,1.550439,4,0.011595,4.712927,6,7.932587,0.263385,1,41.271152,5.204831,2,57.58718,6.066724,6,16.568318,1.995619,2,40.031286,3.217281,2,0.014588,0.312482,3,81.050862,1.317074,4,53.78043,6.444675,1,2.850014,0.724143,6,82.932018,0.2095,2,0.013922,57.668736,3,95.263607,4.644236,5,16.351259,3.210201,4,62.32322,1.060542,2,47.515524,18.674252,4,10.927955,3.175987,4,0.252756,3.824863,2,0.033896,3.416676,4,0.02354,3.561296,2,89.077621,4.354527,2,0.069526,1.191445,5,0.019837,1.881673,6,76.398161,32.893496,3,94.743686,5.048998,5,0.145781,10.863651,4,26.724561,6.849329,2,43.441764,1.938539,4,31.731145,3.874321,6,45.707069,6.966952,5,97.837733,14.641039,6,75.450136,3.499611,1,0.019841,0.753631,6,51.629653,0.571535,2,94.115227,5.364246,1,71.257383,0.53295,6,0.098205,7.22625,6,69.257173,2.731615,1,66.272594,6.304423,1,60.589636,1.73624,5,97.538156,1.249802,6,68.780225,9.445806,2,4.38479,6.262251,2,72.000399,2.680772,3,0.010961,8.994865,1,81.421738,1.29291,4,0.018961,2.224604,6,0.015552,1.637552,6,0.023838,3.947274,2,8.160334,0.918236,5,73.281334,1.326506,2,9.171382,1.572292,4,5.322669
Fig. 2,5,79.160505,82.492265,1479.300493,428.446959,51.504519,339.252794,211.608903,1879.326594,5.619144,65.699011,435.557993,9.810842,39.951834,31.0535,875.186283,81.363714,98.70461,0.711908,0.606602,0.187304,0.194461,0.107708,0.970156,0.105909,0.744386,0.727131,0.701278,0.325964,0.953846,0.700873,0.165861,0.992008,0.380993,0.706748,1.445268,3,0.014688,7.13252,3,32.507007,0.683072,3,0.015606,6.330918,1,68.280201,2.973282,1,0.055875,1.400381,1,0.047445,3.047833,5,0.010863,1.226027,5,27.308864,18.532023,3,0.052416,1.331475,4,1.389821,35.933161,1,79.318899,3.073405,5,0.018367,1.253848,1,84.62165,5.265589,6,70.949767,2.096172,3,13.527273,2.685567,6,6.318661,0.908219,1,70.206592,3.422252,4,0.011855,0.357011,5,26.910096,3.24214,4,91.987765,1.08655,2,78.817055,1.30499,6,55.907009,3.140001,1,0.01514,41.061235,4,40.908233,1.53292,2,14.603799,3.216324,4,35.101876,1.479176,5,41.201777,5.754393,3,79.664371,3.525001,3,0.011633,3.019146,4,0.011667,1.901778,1.331475,4,1.389821,35.933161,1,79.318899,3.073405,5,0.018367,1.253848,1,84.62165,5.265589,6,70.949767,2.096172,3,13.527273,2.685567,6,6.318661,0.908219,1,70.206592,3.422252,4,0.011855,0.357011,5,26.910096,3.24214,4,91.987765,1.08655,2,78.817055,1.30499,6,55.907009,3.140001,1,0.01514,41.061235,4,40.908233,1.53292,2,14.603799,3.216324,4,35.101876,1.479176,5,41.201777,5.754393,3,79.664371,3.525001,3,0.011633,3.019146,4,0.011667,1.901778,9.816709,0.590559,3,13.386603,17.42824,1,98.585104,6.250203,3,88.691054,2.557187,3,0.010079,16.067893,5,50.139041,0.915492,4,0.017286,3.348459,3,0.019186,3.890928,4,0.809885,0.128858,6,3.709761,2.739803,3,22.874381,1.04046,6,41.489867,1.256127,2,51.591014
Fig. S2,5,53.114727,60.557497,1520.79598,150.968356,57.621238,550.288225,824.208503,4225.9295,35.906536,42.380774,395.798237,14.927541,54.112252,12.933943,917.406397,68.9658,3.319977,0.592574,0.455873,0.632558,0.715492,0.254681,0.444205,0.658045,0.684813,0.367858,0.224468,0.568388,0.963458,0.284087,0.464659,0.218203,0.163683,0.375489,1.108541,3,0.030646,14.038981,2,87.806734,1.026909,5,0.015694,6.441197,4,31.967961,0.82941,3,0.014508,0.267805,1,0.011773,1.171801,3,0.010613,0.681481,2,36.471307,15.099898,6,0.012585,3.132168,3,91.821117,52.054326,3,73.756596,1.019154,2,0.010652,1.142998,1,2.358997,3.401803,6,52.989149,2.984783,4,25.382008,4.982313,1,82.234838,0.66974,2,55.104405,2.878489,3,0.020787,1.714493,5,57.070078,0.471045,5,88.550773,0.360294,2,5.16092,0.389289,1,71.662687,0.914064,4,0.631166,20.057389,6,40.810217,3.6218,4,36.872058,1.527012,6,75.930074,4.141951,6,95.164234,12.060794,2,10.131979,0.140868,4,0.010223,0.937475,2,0.017249,0.956583,1,0.013488,4.871298,4,93.102631,1.981619,3,0.071129,0.261795,4,0.071171,1.020833,3,90.951831,51.348654,4,90.007907,6.691939,3,0.021708,15.92982,6,4.395501,5.375382,5,62.170807,0.643483,6,2.923995,3.871965,6,26.658929,6.570848,6,53.946338,16.999044,3,17.718344,0.484853,2,0.021379,2.532156,2,33.107321,0.860967,2,32.979637,0.339039,6,18.480071,3.877248,2,0.016927,9.066887,1,34.824942,2.668613,5,4.1751,6.628187,2,95.287852,0.520116,4,24.337151,1.309593,2,83.942916,7.126045,4,72.934334,4.025666,6,96.089832,0.853068,3,0.018893,0.475276,3,3.067627,1.739185,6,0.015332,0.070166,1,0.012958,2.608867,5,0.011136,2.39421,1,42.420669,0.202657,1,34.859011,1.771173,6,8.537615,1.615214,3,75.906524
